,dim1,dim2,dim3,label
0,-10.555911,2.8853576,11.256718,5
1,-13.634624,26.119413,-3.3482003,0
2,-29.136347,-18.721447,-3.5432835,4
3,19.417025,-7.359248,-19.03977,1
4,-4.4670305,-15.392969,-1.3089207,9
5,6.7459893,12.983893,-16.727514,2
6,22.340359,-1.7533531,19.643532,1
7,7.5336432,14.378609,13.491319,3
8,27.669289,-5.6127553,19.86888,1
9,-8.611931,-14.5607605,-19.910183,4
10,5.0608425,27.647573,15.927306,3
11,-3.6602023,6.2488313,-7.5843267,5
12,0.03956568,11.167757,26.3515,3
13,-16.628548,3.6135163,-19.85443,6
14,28.522928,4.6051364,13.196502,1
15,11.117597,-26.602654,-6.628406,7
16,12.300776,23.318502,-8.194762,2
17,11.162642,1.3497205,-1.1538495,8
18,-5.193264,1.7243552,-16.105461,6
19,3.72417,-16.450178,-12.155632,9
20,-27.715107,-19.341217,-0.19546562,4
21,-13.095113,27.964382,-6.1354127,0
22,-0.72677517,-14.338094,-13.609987,9
23,18.81304,-7.437538,-18.954756,1
24,21.750639,9.204888,7.650704,1
25,25.300432,19.260197,-0.70515615,2
26,-12.372227,-24.206532,-5.6126647,4
27,2.7436876,11.88854,15.678184,3
28,11.462084,18.01377,1.1120418,2
29,15.025638,-23.868591,-11.264919,7
30,-2.7933638,4.3564353,29.666832,3
31,11.130572,3.4737551,-3.4502008,8
32,-13.649318,-2.2630324,-23.490196,6
33,5.0065403,-16.110975,-13.902357,9
34,-3.8951206,26.524612,-0.194368,0
35,-4.138286,10.080867,-2.1649568,5
36,-9.566348,0.0046736686,-27.442831,6
37,-5.6007752,26.586138,-3.388995,0
38,8.751774,-15.995623,11.198122,7
39,-13.821694,1.1782776,-23.927097,6
40,30.93893,-9.8412285,8.039991,1
41,10.175005,0.77862054,6.0277004,8
42,10.4983835,-21.19453,8.035496,7
43,4.9903193,-17.69046,-9.28526,9
44,7.2788057,9.173298,29.939837,3
45,-1.992762,-13.883885,-0.4833555,9
46,5.2359004,-3.6169705,13.080543,8
47,-11.474692,4.4660707,-0.6984497,5
48,10.556528,0.07592344,22.653631,9
49,7.5944405,14.285189,18.357792,3
50,-2.917386,24.620789,17.641733,3
51,-24.15146,29.14896,-2.108884,0
52,8.869626,-32.415512,9.535874,7
53,-3.6017113,-22.812435,-15.886747,4
54,0.78504866,-12.867395,2.01093,9
55,6.767547,-4.439326,1.7040952,8
56,-20.951307,20.46242,4.24184,0
57,0.22122753,-14.642384,-10.544114,9
58,-22.289759,-24.334873,-1.3879888,4
59,21.785837,-5.7748947,-15.953636,1
60,-30.882957,-15.0034,-0.53973895,4
61,-4.340309,-20.568682,-18.909334,4
62,-1.7270991,2.6879015,-18.739239,6
63,-16.094751,31.981962,-0.6215476,0
64,-24.49204,-13.188305,-9.62025,4
65,-3.6899471,5.3151197,-7.0932393,5
66,-6.87168,6.748632,-17.673212,6
67,32.965317,2.2556872,-6.5473657,1
68,-27.239029,16.996529,0.099453345,0
69,-7.0342283,18.147972,1.9416236,0
70,22.922453,6.905393,6.8016605,1
71,13.369424,-24.666553,-11.739405,7
72,28.883825,3.1751788,8.5809765,1
73,-9.1373,4.8846197,-19.417841,6
74,4.629662,14.512981,27.316648,3
75,-9.453384,27.7569,-2.0710576,0
76,24.805382,12.646849,-2.9041247,2
77,23.833559,-5.030933,-10.671738,1
78,20.299652,-6.9748135,-7.5024695,1
79,14.229288,-24.138336,-10.959421,7
80,-15.990568,12.483073,21.795408,9
81,-8.206795,28.848063,1.939761,0
82,10.061148,27.037683,-9.848025,2
83,-15.920353,9.431422,-19.123928,6
84,12.524319,-30.379644,9.702458,7
85,7.471776,2.867143,5.109054,8
86,-3.9734263,9.849411,29.472612,3
87,-2.4632995,-9.228787,-9.918081,9
88,-22.654175,20.175888,6.8723817,0
89,-12.544075,-16.468245,-20.783762,4
90,-14.243867,7.3187566,-19.045252,6
91,9.790724,-32.30025,-5.3073845,7
92,-20.375051,-17.990784,-4.3843565,4
93,-12.401265,11.708342,-15.63983,6
94,10.215722,-5.227637,2.845811,8
95,-6.9298115,22.424294,-1.7945515,0
96,9.928261,-22.326866,1.7924283,7
97,5.8922267,-0.44720367,4.580086,8
98,4.8388104,14.544002,26.145315,3
99,22.288736,-14.324631,-10.3866825,1
100,-19.412794,3.2695737,2.910454,5
101,2.147044,-32.584713,1.3258317,7
102,29.773361,1.1138177,11.543189,1
103,7.75376,-28.757784,-0.27854154,7
104,24.552286,1.985544,21.801558,1
105,23.163599,-0.21987309,-8.0084915,1
106,-13.745061,8.246552,-12.880739,6
107,2.7446258,18.525198,12.373149,3
108,-25.13503,15.069753,0.18232755,0
109,20.327097,9.496177,-14.133731,2
110,-8.839574,-13.366554,13.212897,9
111,5.163439,9.540037,14.481046,3
112,25.406507,-8.921712,7.9629383,1
113,21.05851,-0.6956176,-12.034654,1
114,-21.640982,21.156366,-9.7574,0
115,-10.2799,-14.797873,-16.770334,4
116,-7.303118,-12.490122,5.410182,9
117,26.068972,21.648254,-2.6548622,2
118,-15.067102,24.2748,1.90344,0
119,-12.997389,28.23226,-6.5440364,0
120,10.2121725,11.32016,-6.175507,2
121,-23.562738,20.386135,-2.5178685,0
122,20.754282,19.769865,-7.1703744,2
123,13.016685,-31.155197,-6.0840282,7
124,32.835167,2.4694057,2.8474932,1
125,11.6583,1.0009433,7.8848453,8
126,-7.515394,-6.0981493,-17.320454,6
127,-9.215873,-12.780537,-21.461266,4
128,24.021687,-4.690266,8.641945,1
129,-5.6743917,7.4711432,-20.53256,6
130,8.149958,13.822475,21.776802,3
131,-8.170069,-17.094568,-20.398579,4
132,-13.881676,15.232792,11.255307,5
133,1.099175,-19.32713,-7.7509084,9
134,18.79148,3.8857853,23.42296,1
135,7.572459,20.215467,11.380364,3
136,3.0287328,9.694755,28.36562,3
137,15.612417,-1.0654075,1.824466,8
138,-11.599433,10.638317,15.745311,5
139,-7.4684744,-17.752151,-14.582276,4
140,20.215233,-22.733095,3.4540458,7
141,14.774037,-23.992191,-11.061186,7
142,-12.154569,-24.466803,-9.062904,4
143,17.641567,8.009915,-10.384165,2
144,5.8736997,-6.077658,16.398779,8
145,-5.330727,3.7636716,-4.916242,5
146,13.363401,5.335728,5.9059772,8
147,-9.613671,1.8675572,-20.716637,6
148,-4.8400207,-12.638008,-8.533822,7
149,2.249555,9.503612,20.869543,3
150,-11.411379,-11.469952,-4.4319153,4
151,-13.931805,2.9895248,-25.474796,6
152,29.15591,0.5383074,1.4977432,1
153,4.265672,-16.186214,-9.300306,9
154,-0.8277645,-16.829407,7.0775323,9
155,-9.648588,6.749561,-23.03386,6
156,-23.43188,24.140823,-9.773963,0
157,6.828633,18.897772,11.0655775,3
158,-0.17270827,-32.691917,17.534262,7
159,26.201727,21.928112,-1.8597786,2
160,8.308413,-9.6004305,16.2677,8
161,24.987558,20.805868,-0.894813,2
162,-4.4718666,-18.565523,4.7784004,9
163,-4.752938,-20.881973,-18.901396,4
164,-27.258724,-19.750711,-1.176082,4
165,-9.388612,5.356585,-18.675045,6
166,-9.4649935,-18.316166,-14.102656,4
167,-0.019373247,-11.742981,-6.525802,9
168,16.23802,-19.042067,2.6613154,7
169,-6.7470665,22.66122,-1.5823072,0
170,-6.8105125,-21.180626,6.607983,9
171,26.059551,21.722084,-2.1153982,2
172,1.7870721,-32.671627,7.1698704,9
173,-3.3830836,7.3505454,-5.8519235,5
174,29.486774,-12.07334,4.295546,1
175,-4.8303275,5.276647,-2.5046573,5
176,-5.9885244,-23.458805,3.148968,9
177,20.861162,-11.013313,-6.2940083,1
178,2.1527696,27.191845,-13.971503,2
179,5.9447155,10.657455,13.301384,3
180,17.895975,11.91363,-2.3742461,2
181,8.495119,13.006723,10.896702,3
182,-14.570695,11.673589,21.267818,5
183,0.43014657,-11.419169,-2.4106138,9
184,26.26796,0.24777055,17.716026,1
185,9.802045,-32.375774,-5.1687584,7
186,-17.593695,-3.3827138,-13.779481,6
187,26.31288,17.080025,-7.3686733,2
188,3.0380132,-7.5400677,12.553244,8
189,21.55546,12.772542,-13.407693,2
190,23.97759,16.585695,-10.151552,2
191,-5.571266,3.801853,-4.996252,5
192,-10.736901,22.984478,1.1190037,0
193,9.715627,-32.1418,-5.4965696,7
194,-21.770609,-17.87832,-5.497231,4
195,4.101815,-14.429769,-10.365446,9
196,3.529203,-30.508747,15.105839,7
197,10.802714,3.6197114,0.33335796,8
198,-1.1027883,21.666885,24.863113,3
199,10.412884,10.266642,-15.085991,2
200,25.683706,0.78308886,19.120333,1
201,18.204073,-7.7395277,-18.997978,1
202,9.8238945,1.1519367,5.471769,8
203,8.408263,13.163965,11.105522,3
204,-15.021095,-3.4232788,-21.139055,6
205,19.70876,-1.5106857,-13.733115,1
206,-26.686686,22.408388,1.6039455,0
207,7.298652,14.245629,7.830005,3
208,23.47341,-7.1338205,1.6466589,1
209,-24.975649,17.980324,-0.04597465,0
210,-17.410799,22.298965,8.0395975,0
211,26.55725,-5.868213,0.0544817,1
212,22.68935,3.0650427,8.567566,7
213,9.238345,19.695284,-14.62207,2
214,7.0658507,-30.357374,13.727343,7
215,3.8328028,22.060598,13.328424,3
216,-9.922079,16.509792,5.5922284,0
217,-14.791442,-18.315664,-7.9591246,4
218,-15.115557,1.3736694,-12.33851,6
219,-6.9255986,8.728612,6.7553825,5
220,23.122643,18.568745,3.522072,2
221,-19.9079,5.123835,-18.631207,6
222,-28.933052,-16.296928,-2.0622566,4
223,5.4484887,-28.45471,-4.545945,7
224,8.548319,13.175445,1.3369969,1
225,9.657196,7.1250463,2.1219897,8
226,-6.299821,-19.940079,10.507533,9
227,0.10731969,-18.401875,-4.9470057,9
228,-0.22827528,8.87109,31.450975,3
229,-24.27767,20.41936,1.9014263,0
230,14.126497,-25.582258,-3.6691191,7
231,27.076992,0.7551107,0.4336976,1
232,-5.3254223,20.675205,4.2276897,0
233,5.932712,19.043556,-15.555841,2
234,-10.235117,18.999437,-1.7759844,0
235,4.442214,20.480837,12.276615,3
236,-14.131699,5.1508355,0.43214756,5
237,-17.212364,-22.766157,-9.871185,4
238,-20.98429,0.5536281,-20.65122,6
239,-3.8415487,7.0419345,3.7678628,5
240,14.832921,-2.4610243,12.27225,8
241,-26.672445,1.0409153,-16.345499,6
242,-1.6468971,17.196482,15.082412,3
243,7.2701693,-30.741865,0.7592097,7
244,-20.15186,2.1790166,17.90726,5
245,8.367586,4.4262204,3.7597828,8
246,-28.518108,20.964674,3.8657093,0
247,1.5402302,-18.419044,-4.0748677,9
248,21.136665,1.4213613,19.289476,1
249,-24.697964,18.104261,-0.4789147,0
250,-2.567803,2.6804557,28.987267,3
251,23.01155,-6.695,0.022218531,1
252,20.006746,11.192285,-7.6654058,2
253,3.8401492,24.90845,-15.641892,2
254,-3.6910465,21.805714,17.663229,3
255,7.4027576,20.210339,11.392782,3
256,0.38857532,5.7507396,-26.87574,6
257,-12.501836,-15.876256,-14.95984,4
258,16.425331,-23.99893,3.4629865,7
259,-4.721501,9.520349,2.3170967,5
260,-19.758165,21.91311,-15.513993,0
261,-15.372538,5.7424426,-24.639591,6
262,-6.566929,10.3513155,-29.879473,2
263,7.701254,-30.562813,0.4280317,7
264,-14.972451,-16.333694,13.077045,9
265,6.6158476,3.3628259,2.4113479,8
266,-20.282063,8.856798,18.93212,5
267,0.20284411,-16.6942,2.626755,9
268,14.307041,8.5759945,-12.129709,2
269,26.979813,0.9459571,-5.4826746,1
270,29.619965,3.7008762,1.822891,1
271,-8.828515,-18.94359,-12.182034,4
272,-22.415173,-22.606812,-13.020432,4
273,-3.8145075,7.1037674,3.7178476,5
274,-0.16355073,6.7589355,-22.893784,6
275,-14.437042,-19.031364,-14.05707,4
276,26.239744,-10.1226015,1.3130478,1
277,6.095788,22.393738,-14.224171,2
278,-16.31966,15.175571,18.67966,5
279,7.5862727,12.9239,13.406734,3
280,-2.758608,-15.304094,-5.0626135,9
281,3.4613836,19.240398,13.756262,3
282,-10.3859,-14.539979,17.049696,9
283,-21.449154,19.55575,-1.2707201,0
284,-12.445443,4.0794377,21.950907,5
285,1.4238547,-18.502241,-3.8021333,9
286,-13.018351,4.953616,-15.873719,6
287,-2.7295644,9.56787,-0.8979912,5
288,12.103872,-25.474775,8.953738,7
289,-9.348799,-18.216604,-12.637897,4
290,28.503963,-7.3640375,-3.337227,1
291,5.615693,23.453669,11.873481,3
292,-11.205145,-14.617607,-7.8344407,4
293,-15.948372,22.550953,-0.6208444,0
294,-30.78046,-16.5068,-1.0976532,4
295,12.106319,4.7720995,2.07968,8
296,-15.612194,17.869118,-1.7958007,0
297,-12.558154,-15.738263,-15.142701,4
298,0.49712822,13.280914,28.47518,3
299,-19.044325,2.4662876,-16.733152,6
300,14.266167,-3.0570889,8.782692,8
301,7.787426,-26.351852,-4.200628,7
302,-9.358481,6.0072865,-25.628849,6
303,-13.392927,25.888685,-1.6204456,0
304,2.673707,-22.16193,12.463354,9
305,12.471769,-24.509441,-5.8001204,7
306,-9.643517,6.0439506,22.099611,5
307,12.267097,-23.961569,-2.430138,7
308,3.6016371,20.88404,-12.678827,2
309,26.338488,0.68357944,-10.5710945,1
310,25.551264,-9.115477,7.7980566,1
311,-17.198048,6.0600376,-23.480423,6
312,3.6956203,-9.734099,10.63726,8
313,2.108626,-17.212084,-3.6609898,9
314,-23.152506,-14.6781,-6.0286694,4
315,22.579311,-7.722324,-12.023913,1
316,-13.794571,3.6182897,22.163052,5
317,4.4053226,22.915598,-14.486955,2
318,14.757349,12.282244,-14.041493,2
319,0.76305753,-12.519728,-11.041266,9
320,-9.741515,20.818192,0.8829896,0
321,4.497266,20.702473,12.087491,3
322,-13.121254,-11.605135,12.552591,9
323,-25.119888,1.0897452,-17.82553,6
324,9.774958,-14.8672695,5.6556435,7
325,2.9862378,20.37976,-13.56981,2
326,-11.3029585,21.289091,-1.3770903,0
327,5.463634,21.621836,10.119896,3
